symbol,doc_type,dividend,declare_date,registration_date,pay_date,report_url
ALGN,8-K,0.06 ,"september 10, 2015","october 15, 2015","september 30, 2015",http://www.sec.gov/Archives/edgar/data/3545/000089109215008092/e66049ex99-1.htm
ALIM,8-K,0.06 ,"september 14, 2015","october 15, 2015","september 30, 2015",http://www.sec.gov/Archives/edgar/data/3545/000089109215008092/e66049_8k.htm
BOTJ,8-K,0.03 ,"september 23, 2015","october 2, 2015","october 16, 2015",http://www.sec.gov/Archives/edgar/data/702513/000143774915017653/boch20150922_8k.htm
CNXR,8-K,0.075 ,"september 22, 2015","october 15, 2015","november 2, 2015",http://www.sec.gov/Archives/edgar/data/712771/000117184315005258/gff8k_092215.htm
ERS,8-K,0.025 ,"september 17, 2015","september 30, 2015","october 14, 2015",http://www.sec.gov/Archives/edgar/data/1019272/000114420415055744/v420623_8k.htm
FNLC,8-K,22 cents,"october 30, 2015","september 15, 2015","october 5, 2015",http://www.sec.gov/Archives/edgar/data/765207/000076520715000031/a8-k150916x991.htm
FRBA,8-K,8 cents,"september 15, 2015","september 30, 2015","october 23, 2015",http://www.sec.gov/Archives/edgar/data/811589/000117494715001441/form8k-14546_fbnc.htm
NYMTP,8-K,0.24 ,"september 18, 2015","october 26, 2015","september 30, 2015",http://www.sec.gov/Archives/edgar/data/1273685/000162828015007198/nymt-pressreleaseq32015div.htm
NVDQ,8-K,.31 ,"september 10, 2015","october 15, 2015","november 2, 2015",http://www.sec.gov/Archives/edgar/data/1013272/000094627515000166/f8k_091015-0160.htm
ODFL,8-K,0.12 ,"september 17, 2015","september 30, 2015","october 7, 2015",http://www.sec.gov/Archives/edgar/data/1297704/000117184315005208/document.htm
SVBI,8-K,0.06 ,"september 21, 2015","october 8, 2015","october 15, 2015",http://www.sec.gov/Archives/edgar/data/1430723/000114420415055997/v420767_8k.htm
GLBL,8-K,0.18 ,"september 16, 2015","september 30, 2015","october 14, 2015",http://www.sec.gov/Archives/edgar/data/1013880/000110465915065758/a15-19835_18k.htm
WHLRP,8-K,0.0175 ,"september 17, 2015","september 30, 2015","october 31, 2015",http://www.sec.gov/Archives/edgar/data/1527541/000152754115000187/september2015dividend8-k.htm
ACCO,8-K,0.16 ,"september 2, 2015","october 1, 2015","november 3, 2015",http://www.sec.gov/Archives/edgar/data/771497/000157104915007728/t1502196_8k.htm
AMBR,8-K,0.55 ,"september 18, 2015","september 30, 2015","october 15, 2015",http://www.sec.gov/Archives/edgar/data/1555039/000155503915000050/resi8-ksept2015divandnspsr.htm
ANH^B,8-K,0.15 ,"september 17, 2015","september 30, 2015","october 29, 2015",http://www.sec.gov/Archives/edgar/data/1047884/000115752315003152/a51183722ex99_1.htm
AHT,8-K,0.40 ,"september 15, 2015","october 15, 2015","september 30, 2015",http://www.sec.gov/Archives/edgar/data/1574085/000157408515000076/ahpq32015dividendpressrele.htm
AHT,8-K,0.48 ,"september 15, 2015","october 15, 2015","september 30, 2015",http://www.sec.gov/Archives/edgar/data/1232582/000123258215000128/aht2015q3dividendpressrele.htm
AF^C,8-K,16.25 ,"september 17, 2015","september 30, 2015","october 15, 2015",http://www.sec.gov/Archives/edgar/data/910322/000114420415055412/v420494_8k.htm
AKO.B,8-K,0.45 ,"september 15, 2015","september 30, 2015","october 26, 2015",http://www.sec.gov/Archives/edgar/data/1560672/000156067215000036/exhibit-q32015dividendanno.htm
ERJ,8-K,0.45 ,"september 15, 2015","september 30, 2015","october 26, 2015",http://www.sec.gov/Archives/edgar/data/1560672/000156067215000036/a8-kxq32015dividendannounc.htm
ORC,8-K,0.14 ,"september 14, 2015","september 25, 2015","september 30, 2015",http://www.sec.gov/Archives/edgar/data/1518621/000127547715000073/orc8k20150914x991.htm
ORC,8-K,0.14 ,"september 14, 2015","september 30, 2015","september 11, 2015",http://www.sec.gov/Archives/edgar/data/1518621/000127547715000073/orc8k20150914.htm
TYC,8-K,0.29 ,"june 30, 2015","june 30, 2015","december 31, 2014",http://www.sec.gov/Archives/edgar/data/1465740/000146574015000083/twoharborsinvestmentcorp.htm
WPG^H,8-K,0.19 ,"september 23, 2015","december 15, 2015","december 29, 2015",http://www.sec.gov/Archives/edgar/data/108516/000110262415001463/exh99_1.htm
ESP,8-K,0.25 ,"june 30, 2016","september 24, 2015","october 1, 2015",http://www.sec.gov/Archives/edgar/data/33533/000117494715001437/ex99-1.htm
