symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
SRCE,2012-12-31,False,FY,2012,10-K,61384000.0,,49633000.0,2.02,2.02,0.66,4550693000.0,,,83934000.0,558655000.0,93193000.0,-255026000.0,131440000.0
FLWS,2012-12-30,False,Q2,2012,10-Q,253016000.0,25998000.0,16011000.0,0.25,0.24,0.0,285145000.0,134970000.0,106886000.0,26964000.0,170391000.0,21139000.0,-10415000.0,-12614000.0
FCTY,2013-03-31,False,Q1,2013,10-Q,359000.0,,1442000.0,0.17,0.16,0.0,493415000.0,,,8422000.0,50640000.0,1206000.0,-17626000.0,-6627000.0
SRCE,2013-03-31,False,Q1,2013,10-Q,62826000.0,,12404000.0,0.5,0.5,0.17,4558028000.0,,,64457000.0,568362000.0,19384000.0,-34908000.0,-3953000.0
SRCE,2013-06-30,False,Q2,2013,10-Q,64732000.0,,13942000.0,0.56,0.56,0.17,4638811000.0,,,68021000.0,567753000.0,41485000.0,-146561000.0,89163000.0
SRCE,2013-09-30,False,Q3,2013,10-Q,67124000.0,,14896000.0,0.6,0.6,0.17,4649961000.0,,,91766000.0,578229000.0,68653000.0,-142344000.0,81523000.0
FLWS,2013-09-29,False,Q1,2014,10-Q,123048000.0,-7081000.0,-4639000.0,-0.07,-0.07,0.0,301679000.0,144821000.0,132186000.0,3642000.0,164009000.0,-61704000.0,-4123000.0,69315000.0
FCCY,2012-12-31,False,FY,2012,10-K,38104165.0,,5060504.0,0.92,0.9,0.0,840968382.0,,,14044921.0,65053532.0,-5588032.0,-38670566.0,43108260.0
FCCY,2013-06-30,False,Q2,2013,10-Q,8630111.0,,1557030.0,0.26,0.25,0.0,804892170.0,,,110108374.0,65275872.0,14183817.0,118207522.0,-36327886.0
FCTY,2012-12-31,False,FY,2012,10-K,1986000.0,,2942000.0,0.35,0.33,0.0,499173000.0,,,6967000.0,49173000.0,5775000.0,-85607000.0,88461000.0
FCTY,2013-09-30,False,Q3,2013,10-Q,405000.0,,803000.0,0.09,0.09,0.0,532327000.0,,,7739000.0,54435000.0,4673000.0,-37065000.0,29554000.0
FCCY,2013-03-31,False,Q1,2013,10-Q,9080401.0,,1325318.0,0.22,0.22,0.0,812565458.0,,,101439427.0,66113080.0,8253494.0,108160577.0,-29019565.0
FLWS,2013-03-31,False,Q3,2013,10-Q,192624000.0,4096000.0,2638000.0,0.04,0.04,0.0,269525000.0,114140000.0,93949000.0,17004000.0,170334000.0,26735000.0,-18433000.0,-20152000.0
FCCY,2013-09-30,False,Q3,2013,10-Q,8955402.0,,1523238.0,0.25,0.25,0.0,790168852.0,,,123815138.0,67152120.0,31153912.0,131274935.0,-52658630.0
