symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CTEK,2011-06-30,False,Q2,2011,10-Q,6191279.0,452335.0,204806.0,0.01,0.01,0.0,49196523.0,32394842.0,16354142.0,1238155.0,31428137.0,-10944424.0,-974884.0,-325053.0
CTEK,2011-09-30,False,Q3,2011,10-Q,5825720.0,570205.0,54673.0,0.0,0.0,0.0,52539786.0,35456960.0,18935478.0,1548213.0,32243774.0,-9835875.0,-1785512.0,-416916.0
CTEK,2011-09-30,False,Q3,2011,10-Q,5825720.0,570205.0,54673.0,0.0,0.0,0.0,52539786.0,35456960.0,18935478.0,1548213.0,32243774.0,-9835875.0,-1785512.0,-416916.0
CS,2009-12-31,False,FY,2009,20-F,33294000000.0,,6724000000.0,5.28,5.14,0.0,1031427000000.0,,,51857000000.0,48328000000.0,-14186000000.0,62071000000.0,-84909000000.0
CS,2010-12-31,False,FY,2010,20-F,31386000000.0,,4936000000.0,3.91,3.89,0.0,1032005000000.0,,,65467000000.0,43015000000.0,8228000000.0,-21449000000.0,33028000000.0
SRCE,2011-06-30,False,Q2,2011,10-Q,69297000.0,,14865000.0,0.61,0.61,0.16,4354951000.0,,,59349000.0,505594000.0,77933000.0,10560000.0,-126016000.0
SRCE,2011-09-30,False,Q3,2011,10-Q,66816000.0,,11540000.0,0.47,0.47,0.16,4305941000.0,,,83050000.0,516879000.0,87426000.0,93555000.0,-194803000.0
FCCY,2011-06-30,False,Q2,2011,10-Q,8225617.0,,828916.0,0.17,0.17,0.0,729430556.0,,,90057576.0,52433152.0,14998900.0,85694164.0,-28345989.0
FCCY,2011-09-30,False,Q3,2011,10-Q,8704910.0,,1213278.0,0.25,0.25,0.0,742460564.0,,,14444073.0,54251450.0,14729743.0,-1117459.0,-16878712.0
FCTY,2011-06-30,False,Q2,2011,10-Q,192.0,,116.0,0.01,0.01,0.0,361085.0,,,7314.0,45143.0,-631.0,-24987.0,53327.0
FCTY,2011-09-30,False,Q3,2011,10-Q,,,354.0,0.04,0.04,0.0,384375.0,,,11032.0,45331.0,24.0,-48761.0,74871.0
FLWS,2011-10-02,False,Q1,2012,10-Q,117198000.0,-7733000.0,-740000.0,-0.08,-0.08,0.0,284592000.0,129174000.0,114208000.0,5707000.0,142145000.0,-52506000.0,3019000.0,33752000.0
ABAX,2011-09-30,False,Q2,2012,10-Q,40025000.0,5183000.0,3321000.0,0.15,0.15,0.0,170300000.0,110358000.0,18115000.0,37994000.0,148403000.0,12678000.0,10190000.0,-28284000.0
AAON,2011-09-30,False,Q3,2011,10-Q,73829000.0,8814000.0,5626000.0,0.23,0.23,0.12,182254000.0,90799000.0,49148000.0,2278000.0,125274000.0,11275000.0,-20266000.0,8876000.0
