symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"TFSC",9.85,9.75,9.80,N/A,N/A,N/A,N/A,N/A,N/A,"9/8/2015","11:53am",-0.16,N/A,N/A,0.00,2.75,0.00,N/A,3.57,N/A,0.00,N/A,N/A,1.12,N/A,N/A,N/A,N/A,N/A,N/A,1000,3000,N/A,2905,18.11M,N/A,"1347 Capital Corp.",N/A,"NCM",1848000,N/A,N/A
"TFSCR",0.42,0.36,0.36,N/A,N/A,N/A,N/A,N/A,N/A,"9/8/2015","12:10pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,300,5000,N/A,N/A,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"TFSCU",10.38,10.31,10.35,N/A,N/A,N/A,N/A,N/A,N/A,"9/4/2015","3:58pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,100,1000,N/A,555,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"TFSCW",N/A,0.02,0.29,N/A,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:38pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10000,10000,N/A,N/A,N/A,"1347 Capital Corp.",N/A,"NCM",N/A,N/A,N/A
"PIH",8.04,N/A,7.46,7.27,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:59pm",-0.13,N/A,N/A,0.00,7.67,4.78M,2.05,0.97,N/A,0.00,N/A,N/A,0.09,22.85M,N/A,N/A,N/A,N/A,N/A,400,N/A,100,15772,46.11M,5452000,"1347 Property Insurance Holding",N/A,"NGM",6265000,N/A,N/A
"FLWS",8.54,8.04,8.47,8.47,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:59pm",0.30,0.42,0.61,0.91,3.19,71.50M,0.49,2.65,28.33,1.13,20.24,13.93,14.95,1.12B,N/A,N/A,N/A,N/A,N/A,19000,600,133,407189,554.10M,24782000,"1-800 FLOWERS.COM, Inc.",N/A,"NMS",65188000,N/A,14.25
"FCTY",8.50,7.85,8.39,7.90,N/A,N/A,N/A,N/A,N/A,"9/9/2015","4:00pm",0.20,0.28,0.51,0.11,6.51,0.00,3.93,1.29,41.95,0.00,29.96,16.45,0.21,20.60M,N/A,N/A,N/A,N/A,N/A,5200,100,N/A,8509,80.85M,6448000,"1st Century Bancshares, Inc",N/A,"NCM",9636000,N/A,8.50
"FCCY",11.81,11.51,11.54,11.53,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",1.15,1.23,1.20,0.30,12.19,0.00,2.17,0.95,10.08,0.51,9.39,9.62,0.05,40.14M,N/A,N/A,N/A,N/A,N/A,100,400,100,4983,87.16M,5586000,"1st Constitution Bancorp (NJ)",N/A,"NGM",7546000,N/A,13.00
"SRCE",30.12,30.09,29.77,29.60,2.20,0.65,"8/14/2015","7/31/2015",N/A,"9/10/2015","4:00pm",2.23,2.20,2.35,0.54,21.92,0.00,3.55,1.36,13.52,1.93,13.69,12.82,6.97,241.65M,N/A,N/A,N/A,N/A,N/A,400,100,1650,42298,868.03M,16678000,"1st Source Corporation",N/A,"NMS",28819000,N/A,30.00
"VNET",18.18,18.16,18.38,18.32,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.84,-0.29,1.14,0.06,7.40,69.86M,3.02,2.48,N/A,-20.21,N/A,15.93,5.44,527.55M,N/A,N/A,N/A,N/A,N/A,500,1600,5854,1081770,1.57B,43541000,"21Vianet Group, Inc.",N/A,"NMS",86616000,N/A,157.42
